date,value
2022-01-01,8121.89
2022-02-01,8097.35
2022-03-01,9298.1
2022-04-01,9803.28
2022-05-01,8997.62
2022-06-01,9512.95
2022-07-01,10235.34
2022-08-01,10100.09
2022-09-01,10159.43
2022-10-01,9674.26
2022-11-01,10145.44
2022-12-01,12836.09
2023-01-01,9263.38
2023-02-01,9409.55
2023-03-01,8905.33
2023-04-01,8197.82
2023-05-01,8596.78
2023-06-01,8072.88
2023-07-01,8922.1
2023-08-01,8772.17
2023-09-01,9039.02
2023-10-01,9245.95
2023-11-01,10476.24
2023-12-01,13932.3
2024-01-01,10839.36
2024-02-01,11367.12
2024-03-01,12171.26
2024-04-01,12483.75
2024-05-01,12791.68
2024-06-01,12985.1
2024-07-01,13747.62
2024-08-01,12701.18
2024-09-01,12536.44
2024-10-01,12215.27
2024-11-01,12531.16
2024-12-01,16451.59
